day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2026-01-07,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.3763,0.0438,-0.4201,-0.8552,44.0008,43.6245,False,False,16:00
2026-01-08,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0666,0.0437,0.0229,0.1527,43.6245,43.6911,False,False,16:00
2026-01-09,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1535,0.0438,0.1097,0.3513,43.6911,43.8446,False,False,16:00
2026-01-12,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0434,0.044,-0.0006,0.099,43.8446,43.888,False,False,16:00
2026-01-13,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1734,0.0219,-0.1953,-0.3951,43.888,43.7146,False,False,16:00
2026-01-14,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.7146,43.7146,False,False,16:00
2026-01-15,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.3292,0.0435,-0.3727,-0.7531,43.7146,43.3854,False,False,16:00
2026-01-16,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2197,0.0431,-0.2628,-0.5064,43.3854,43.1657,False,False,16:00
2026-01-20,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2856,0.043,-0.3286,-0.6619,43.1657,42.88,False,False,16:00
2026-01-21,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.553,0.0431,0.5099,1.2899,42.88,43.4331,False,False,16:00
2026-01-22,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.6593,0.0438,0.6155,1.5177,43.4331,44.0923,False,False,16:00
2026-01-23,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2433,0.0442,0.1991,0.5518,44.0923,44.3356,False,False,16:00
2026-01-26,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0516,0.0444,0.0072,0.1164,44.3356,44.3872,False,False,16:00
2026-01-27,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1501,0.0445,0.1056,0.3382,44.3872,44.5373,False,False,16:00
2026-01-28,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,44.5373,44.5373,False,False,16:00
2026-01-29,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,44.5373,44.5373,False,False,16:00
2026-01-30,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.1439,0.0664,-0.2103,-0.3229,44.5373,44.3935,False,False,16:00
2026-02-02,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.16,0.0443,-0.2043,-0.3604,44.3935,44.2335,False,False,16:00
2026-02-03,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.3624,0.022,-0.3844,-0.8193,44.2335,43.8711,False,False,16:00
2026-02-04,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1039,0.0219,-0.1258,-0.2368,43.8711,43.7672,False,False,16:00
2026-02-05,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1755,0.0218,-0.1973,-0.401,43.7672,43.5917,False,False,16:00
2026-02-06,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.5111,0.0439,0.4672,1.1725,43.5917,44.1028,False,False,16:00
2026-02-09,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1404,0.0441,0.0963,0.3183,44.1028,44.2432,False,False,16:00
2026-02-10,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-1.0212,0.0438,-1.065,-2.3084,44.2432,43.2219,False,False,16:00
2026-02-11,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1877,0.0215,-0.2092,-0.434,43.2219,43.0343,False,False,16:00
2026-02-12,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1284,0.0215,-0.1499,-0.2984,43.0343,42.9059,False,False,16:00
2026-02-13,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.4387,0.0427,-0.4814,-1.0225,42.9059,42.4672,False,False,16:00
2026-02-17,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.059,0.0425,0.0165,0.1387,42.4672,42.5261,False,False,16:00
2026-02-18,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0071,0.0425,-0.0354,0.0167,42.5261,42.5332,False,False,16:00
2026-02-19,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.3865,0.0633,-0.4498,-0.9087,42.5332,42.1467,False,False,16:00
2026-02-20,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.103,0.0421,0.0609,0.2441,42.1467,42.2496,False,False,16:00
2026-02-23,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.0524,0.0211,-0.0735,-0.124,42.2496,42.1972,False,False,16:00
2026-02-24,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.158,0.0422,0.1158,0.3747,42.1972,42.3553,False,False,16:00
2026-02-25,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1421,0.0424,0.0997,0.3353,42.3553,42.4973,False,False,16:00
2026-02-26,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,42.4973,42.4973,False,False,16:00
2026-02-27,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.3411,0.0633,-0.4044,-0.8026,42.4973,42.1562,False,False,16:00
2026-03-02,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2412,0.0423,0.1989,0.5722,42.1562,42.3974,False,False,16:00
2026-03-03,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.407,0.0426,0.3644,0.96,42.3974,42.8044,False,False,16:00
2026-03-04,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1089,0.0429,0.066,0.2544,42.8044,42.9133,False,False,16:00
2026-03-05,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.4497,0.0212,-0.4709,-1.0479,42.9133,42.4636,False,False,16:00
2026-03-06,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.3411,0.0423,-0.3834,-0.8033,42.4636,42.1225,False,False,16:00
2026-03-09,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.8473,0.0425,0.8048,2.0113,42.1225,42.9697,False,False,16:00
2026-03-10,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1062,0.0428,-0.149,-0.2472,42.9697,42.8635,False,False,16:00
